"Name","Type","Value","Priority","TTL"
"334xc4sml6cf.fillmorechristian.org","CNAME","gv-ujhethalu73pqt.dv.googlehosted.com","","14400"
"4jb3ni34htue.fillmorechristian.org","CNAME","gv-xvljhthdwk5dxh.dv.googlehosted.com","","14400"
"cbsw2pw4sdud.fillmorechristian.org","CNAME","gv-6xwzpofnvqguxs.dv.googlehosted.com","","14400"
"fillmorechristian.org","A","77.83.141.16","","14400"
"fillmorechristian.org","MX","mxa.mailgun.org","10","6231"
"fillmorechristian.org","MX","mxb.mailgun.org","10","6231"
"fillmorechristian.org","NS","ns-cloud-d1.googledomains.com","","17871"
"fillmorechristian.org","NS","ns-cloud-d2.googledomains.com","","17871"
"fillmorechristian.org","NS","ns-cloud-d3.googledomains.com","","17871"
"fillmorechristian.org","NS","ns-cloud-d4.googledomains.com","","17871"
"fillmorechristian.org","TXT","MS=ms48673064","","12821"
"fillmorechristian.org","TXT","v=spf1 include:mailgun.org ~all","","12821"
"pic._domainkey.fillmorechristian.org","TXT","k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDDMspMJXAZ/D2ygNZBnGbLY5Z9DjNaNiLDjKY79O1JYgtYlkOERm5SVNOb1nKavNA98hqTLLN+1N7LQGoaeqY0O8ddDa8NclV57cTekdu4by/fcKN+8zycaOE2HRH9hZP1RLNmandRuUQfmTYMrXIWrjBU0xaQdbXZHMP0pN5FuQIDAQAB","","14147"
"www.fillmorechristian.org","CNAME","ssl.thechurchco.com","","14400"
